File Name,Severity Level,Message
setup/install.py,3,"subprocess call with shell=True identified, security issue."
setup/upload.py,3,"subprocess call with shell=True identified, security issue."
setup/upload.py,3,"subprocess call with shell=True identified, security issue."
setup/upload.py,3,"subprocess call with shell=True identified, security issue."
setup/upload.py,3,"subprocess call with shell=True identified, security issue."
setup/__init__.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
src/calibre/test_build.py,3,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.
src/calibre/ebooks/metadata/sources/google.py,3,Use of weak MD5 hash for security. Consider usedforsecurity=False
src/calibre/ebooks/metadata/sources/update.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
src/calibre/ebooks/conversion/plugins/epub_input.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
src/calibre/ebooks/oeb/polish/container.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
src/calibre/utils/exim.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
src/calibre/utils/exim.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
src/calibre/srv/books.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
src/calibre/devices/smart_device_app/driver.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
src/calibre/db/cache.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
imgsrc/generate.py,3,Use of weak SHA1 hash for security. Consider usedforsecurity=False
bypy/init_env.py,2,Use of possibly insecure function - consider using safer ast.literal_eval.
bypy/linux/__main__.py,2,Probable insecure usage of temp file/directory.
setup/install.py,2,Probable insecure usage of temp file/directory.
setup/install.py,2,Chmod setting a permissive mask 0o755 on file (tdir).
setup/install.py,2,Chmod setting a permissive mask 0o755 on file (NOT PARSED).
setup/__init__.py,2,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.
setup/__init__.py,2,Use of possibly insecure function - consider using safer ast.literal_eval.
setup/unix-ci.py,2,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.
src/calibre/linux.py,2,"Function call with shell=True parameter identified, possible security issue."
src/calibre/debug.py,2,Use of exec detected.
src/calibre/debug.py,2,Use of exec detected.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/database2.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/schema_upgrades.py,2,Possible SQL injection vector through string-based query construction.
src/calibre/library/schema_upgrades.py,2,Possible SQL injection vector through string-based query construction.
