File Name,Severity Level,Message
setup/install.py,3,"subprocess call with shell=True identified, security issue."
setup/upload.py,3,"subprocess call with shell=True identified, security issue."
setup/upload.py,3,"subprocess call with shell=True identified, security issue."
setup/upload.py,3,"subprocess call with shell=True identified, security issue."
setup/upload.py,3,"subprocess call with shell=True identified, security issue."
src/calibre/debug.py,3,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3."
src/calibre/test_build.py,3,The pyCrypto library and its module AES are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.
src/calibre/utils/matcher.py,3,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3."
src/calibre/utils/exim.py,3,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3."
src/calibre/srv/render_book.py,3,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3."
bypy/init_env.py,2,Use of possibly insecure function - consider using safer ast.literal_eval.
setup/install.py,2,Chmod setting a permissive mask 0o755 on file (tdir).
setup/install.py,2,Chmod setting a permissive mask 0o755 on file (NOT PARSED).
setup/plugins_mirror.py,2,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.
setup/plugins_mirror.py,2,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.
setup/plugins_mirror.py,2,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.
setup/__init__.py,2,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.
setup/__init__.py,2,"Use of insecure MD2, MD4, MD5, or SHA1 hash function."
setup/__init__.py,2,Use of possibly insecure function - consider using safer ast.literal_eval.
setup/unix-ci.py,2,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.
src/calibre/linux.py,2,"Function call with shell=True parameter identified, possible security issue."
src/calibre/debug.py,2,Use of exec detected.
src/calibre/debug.py,2,Use of exec detected.
src/calibre/test_build.py,2,Using lxml.etree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree.fromstring with its defusedxml equivalent function.
src/calibre/library/catalogs/epub_mobi_builder.py,2,Use of possibly insecure function - consider using safer ast.literal_eval.
src/calibre/library/catalogs/epub_mobi.py,2,Use of possibly insecure function - consider using safer ast.literal_eval.
src/calibre/library/catalogs/epub_mobi.py,2,Use of possibly insecure function - consider using safer ast.literal_eval.
src/calibre/ebooks/metadata/sources/google.py,2,Using lxml.etree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree.fromstring with its defusedxml equivalent function.
src/calibre/ebooks/metadata/sources/google.py,2,"Use of insecure MD2, MD4, MD5, or SHA1 hash function."
src/calibre/ebooks/metadata/sources/google.py,2,Using lxml.etree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree.fromstring with its defusedxml equivalent function.
src/calibre/ebooks/metadata/sources/update.py,2,Use of exec detected.
src/calibre/ebooks/metadata/sources/update.py,2,Use of exec detected.
src/calibre/ebooks/metadata/sources/update.py,2,"Use of insecure MD2, MD4, MD5, or SHA1 hash function."
